primary_id,ids_raw,file,locus,ORI,Promoter,RBS,Reporter,Notes_Use,Length_bp
L30_01,"L30_01, L24_01",pIAKA1s271_11_L30_01.gb,pIAKA1s271_11,pSC101,BBa_J23106,BBa_B0030,GFPmut3,Base library,3965
L30_02,"L30_02, L24_02",pIAKA1s271_12_L30_02.gb,pIAKA1s271_12,pSC101,BBa_J23106,BBa_B0032,GFPmut3,Base library,3963
L30_03,"L30_03, L24_03",pIAKA1s271_14_L30_03.gb,pIAKA1s271_14,pSC101,BBa_J23106,BBa_J61100,GFPmut3,Base library,3964
L30_04,"L30_04, L24_04",pIAKA1s271_15_L30_04.gb,pIAKA1s271_15,pSC101,BBa_J23106,BBa_J61101,GFPmut3,Base library,3962
L30_05,"L30_05, L24_05",pIAKA1s271_41_L30_05.gb,pIAKA1s271_41,pSC101,BBa_J23102,BBa_B0030,GFPmut3,Base library,3965
L30_06,"L30_06, L24_06",pIAKA1s271_42_L30_06.gb,pIAKA1s271_42,pSC101,BBa_J23102,BBa_B0032,GFPmut3,Base library,3963
L30_07,"L30_07, L24_07",pIAKA1s271_44_L30_07.gb,pIAKA1s271_44,pSC101,BBa_J23102,BBa_J61100,GFPmut3,Base library,3964
L30_08,"L30_08, L24_08",pIAKA1s271_45_L30_08.gb,pIAKA1s271_45,pSC101,BBa_J23102,BBa_J61101,GFPmut3,Base library,3962
L30_09,"L30_09, L24_09",pIAKA1s271_51_L30_09.gb,pIAKA1s271_51,pSC101,BBa_J23101,BBa_B0030,GFPmut3,Base library,3965
L30_10,"L30_10, L24_10",pIAKA1s271_52_L30_10.gb,pIAKA1s271_52,pSC101,BBa_J23101,BBa_B0032,GFPmut3,Base library,3963
L30_11,"L30_11, L24_11",pIAKA1s271_54_L30_11.gb,pIAKA1s271_54,pSC101,BBa_J23101,BBa_J61100,GFPmut3,Base library,3964
L30_12,"L30_12, L24_12",pIAKA1s271_55_L30_12.gb,pIAKA1s271_55,pSC101,BBa_J23101,BBa_J61101,GFPmut3,Base library,3962
L30_13,"L30_13, L24_13",pIAKA1_11_L30_13.gb,pIAKA1_11,pGreen,BBa_J23106,BBa_B0030,GFPmut3,Base library,3519
L30_14,"L30_14, L24_14",pIAKA1_12_L30_14.gb,pIAKA1_12,pGreen,BBa_J23106,BBa_B0032,GFPmut3,Base library,3517
L30_15,"L30_15, L24_15",pIAKA1_14_L30_15.gb,pIAKA1_14,pGreen,BBa_J23106,BBa_J61100,GFPmut3,Base library,3518
L30_16,"L30_16, L24_16",pIAKA1_15_L30_16.gb,pIAKA1_15,pGreen,BBa_J23106,BBa_J61101,GFPmut3,Base library,3516
L30_17,"L30_17, L24_17",pIAKA1_41_L30_17.gb,pIAKA1_41,pGreen,BBa_J23102,BBa_B0030,GFPmut3,Base library,3519
L30_18,"L30_18, L24_18",pIAKA1_42_L30_18.gb,pIAKA1_42,pGreen,BBa_J23102,BBa_B0032,GFPmut3,Base library,3517
L30_19,"L30_19, L24_19",pIAKA1_44_L30_19.gb,pIAKA1_44,pGreen,BBa_J23102,BBa_J61100,GFPmut3,Base library,3518
L30_20,"L30_20, L24_20",pIAKA1_45_L30_20.gb,pIAKA1_45,pGreen,BBa_J23102,BBa_J61101,GFPmut3,Base library,3516
L30_21,"L30_21, L24_21",pIAKA1_51_L30_21.gb,pIAKA1_51,pGreen,BBa_J23101,BBa_B0030,GFPmut3,Base library,3519
L30_22,"L30_22, L24_22",pIAKA1_52_L30_22.gb,pIAKA1_52,pGreen,BBa_J23101,BBa_B0032,GFPmut3,Base library,3517
L30_23,"L30_23, L24_23",pIAKA1_54_L30_23.gb,pIAKA1_54,pGreen,BBa_J23101,BBa_J61100,GFPmut3,Base library,3518
L30_24,"L30_24, L24_24",pIAKA1_55_L30_24.gb,pIAKA1_55,pGreen,BBa_J23101,BBa_J61101,GFPmut3,Base library,3516
L30_25,"L30_25,L6_01",pIAKA1s271_13_L30_25.gb,pIAKA1s271_13,pSC101,BBa_J23106,BBa_B0034,GFPmut3,Extended library (new RBS),3962
L30_26,"L30_26,L6_02",pIAKA1s271_43_L30_26.gb,pIAKA1s271_43,pSC101,BBa_J23102,BBa_B0034,GFPmut3,Extended library (new RBS),3962
L30_27,"L30_27,L6_03",pIAKA1s271_53_L30_27.gb,pIAKA1s271_53,pSC101,BBa_J23101,BBa_B0034,GFPmut3,Extended library (new RBS),3962
L30_28,"L30_28,L6_04",pIAKA1_13_L30_28.gb,pIAKA1_13,pGreen,BBa_J23106,BBa_B0034,GFPmut3,Extended library (new RBS),3516
L30_29,"L30_29,L6_05",pIAKA1_43_L30_29.gb,pIAKA1_43,pGreen,BBa_J23102,BBa_B0034,GFPmut3,Extended library (new RBS),3516
L30_30,"L30_30,L6_06",pIAKA1_53_L30_30.gb,pIAKA1_53,pGreen,BBa_J23101,BBa_B0034,GFPmut3,Extended library (new RBS),3516
L05_01,L5_1,pIAKA1_81_L05_01.gb,pIAKA1_81,pGreen,BBa_J23100,BBa_B0030,GFPmut3,Extended library (new promoter),3519
L05_02,L5_2,pIAKA1_82_L05_02.gb,pIAKA1_82,pGreen,BBa_J23100,BBa_B0032,GFPmut3,Extended library (new promoter),3517
L05_03,L5_3,pIAKA1_83_L05_03.gb,pIAKA1_83,pGreen,BBa_J23100,BBa_B0034,GFPmut3,Extended library (new promoter),3516
L05_04,L5_4,pIAKA1_84_L05_04.gb,pIAKA1_84,pGreen,BBa_J23100,BBa_J61100,GFPmut3,Extended library (new promoter),3518
L05_05,L5_5,pIAKA1_85_L05_05.gb,pIAKA1_85,pGreen,BBa_J23100,BBa_J61101,GFPmut3,Extended library (new promoter),3516
pARKA21,pARKA21,pARKA21.gb,pARKA21,pGreen,BBa_J23106,BBa_B0030,LuxR,Background correction,3555
